,starting_time_stamp,coordinates_of_starting_location,coordinates_of_destination,estimate_travel_time_minutes
0,2017-04-01 18:00:05, 116.488261 39.914144, 116.433266 39.953099,20.0
1,2017-04-01 01:14:08, 116.325335 39.99524, 116.366361 39.987249,18.0
2,2017-04-01 18:50:55, 116.497704 39.971356, 116.567166 39.939357,22.0
3,2017-04-01 09:58:18, 116.339645 39.727755, 116.345179 39.723953,13.0
4,2017-04-01 10:15:49, 116.346167 39.724432, 116.346216 39.719461,11.0
5,2017-04-01 10:42:55, 116.346652 39.719583, 116.385013 39.977821,93.0
6,2017-04-01 13:37:14, 116.419343 40.059329, 116.385028 39.977646,49.0
7,2017-04-01 14:03:11, 116.387426 39.982491, 116.384981 39.97763,12.0
8,2017-04-01 02:15:12, 116.646309 39.928248, 116.402716 39.941307,108.0
9,2017-04-01 09:51:01, 116.406039 39.971343, 116.375475 40.000037,13.0
10,2017-04-01 10:49:41, 116.406075 39.971426, 116.601629 39.916389,57.0
11,2017-04-01 09:47:05, 116.336474 39.737528, 116.335648 39.749853,7.0
12,2017-04-01 00:49:56, 116.340377 40.064173, 116.326986 40.113906,18.0
13,2017-04-01 22:05:13, 116.340377 40.064173, 116.369658 40.041193,11.0
14,2017-04-01 07:36:56, 116.191065 39.754404, 116.401561 39.857972,111.0
15,2017-04-01 07:51:05, 116.191389 39.754012, 116.246088 40.069941,184.0
16,2017-04-01 07:50:20, 116.369263 39.990382, 116.396801 40.008056,9.0
17,2017-04-01 11:23:57, 116.398934 40.006529, 116.438626 40.025661,13.0
18,2017-04-01 11:57:50, 116.396131 40.017319, 116.270249 40.107184,47.0
19,2017-04-01 12:37:04, 116.342395 40.039235, 116.270249 40.107184,31.0
20,2017-04-01 18:41:18, 116.341047 39.930979, 116.385495 39.871178,24.0
21,2017-04-01 12:52:33, 116.473313 39.940668, 116.516041 39.917323,23.0
22,2017-04-01 13:48:55, 116.515902 39.916745, 116.424777 39.900668,41.0
23,2017-04-01 14:06:38, 116.497487 39.91514, 116.424777 39.900668,33.0
24,2017-04-01 15:00:01, 116.424113 39.898653, 116.435638 39.858189,23.0
25,2017-04-01 16:03:25, 116.433042 39.861978, 116.650953 39.897628,99.0
26,2017-04-01 17:13:13, 116.652534 39.899795, 116.650953 39.897628,5.0
27,2017-04-01 18:10:43, 116.650405 39.911432, 116.646843 39.911401,6.0
28,2017-04-01 13:25:00, 116.421104 39.851628, 116.407887 39.906202,20.0
29,2017-04-01 19:23:57, 116.431605 39.970085, 116.50067 39.961975,19.0
30,2017-04-01 20:56:28, 116.497704 39.971356, 116.50067 39.961975,23.0
31,2017-04-01 20:57:14, 116.500748 39.96215, 116.43469 39.87305,37.0
32,2017-04-01 14:22:26, 116.380375 39.919304, 116.601543 40.083091,136.0
33,2017-04-01 14:38:51, 116.380482 39.931436, 116.409677 39.939838,13.0
34,2017-04-01 15:55:52, 116.402527 39.943849, 116.398131 39.939542,13.0
35,2017-04-01 16:28:32, 116.402644 39.938345, 116.416354 39.919971,12.0
36,2017-04-01 16:57:05, 116.419613 39.924907, 116.416354 39.919971,13.0
37,2017-04-01 17:22:51, 116.417933 39.923724, 116.304113 39.91455,31.0
38,2017-04-01 14:46:25, 116.282819 39.960189, 116.445547 39.913189,48.0
39,2017-04-01 23:19:21, 116.116471 39.911101, 116.509495 39.802609,116.0
40,2017-04-01 19:14:34, 116.511321 39.99401, 116.442898 39.977822,31.0
41,2017-04-01 22:25:34, 116.511114 39.991516, 116.442898 39.977822,31.0
42,2017-04-01 09:39:35, 116.342259 39.965281, 116.34623 39.967597,9.0
43,2017-04-01 15:06:55, 116.671003 40.135742, 116.480185 39.9987,116.0
44,2017-04-01 16:04:40, 116.474274 40.003282, 116.480185 39.9987,15.0
45,2017-04-01 16:13:02, 116.175545 40.180569, 116.315499 39.891,111.0
46,2017-04-01 16:29:46, 116.324518 40.02446, 116.315499 39.891,48.0
47,2017-04-01 20:30:13, 116.305896 39.894868, 116.314868 39.897318,17.0
48,2017-04-01 16:40:24, 116.395161 40.005451, 116.434877 40.004296,17.0
49,2017-04-01 09:56:52, 116.285484 40.180569, 116.403164 39.928798,155.0
50,2017-04-01 15:29:44, 116.412498 39.930959, 116.601543 40.083091,76.0
51,2017-04-01 16:22:52, 116.409372 39.93997, 116.282853 40.180569,150.0
52,2017-04-01 08:14:59, 116.301036 39.954158, 116.307998 39.955186,13.0
53,2017-04-01 12:40:12, 116.319173 40.076853, 116.38305 39.90749,102.0
54,2017-04-01 13:13:55, 116.362894 39.94676, 116.38305 39.90749,24.0
55,2017-04-01 14:03:15, 116.380509 39.905815, 116.431355 40.070854,98.0
